,Window,Variance GBP,Variance SEK,Variance CAD,Covariance SEK - GBP,Covariance SEK - CAD,Covariance GBP - CAD
43,0.3251008944733085,1.3462952309237318e-05,5.763016062380657e-06,2.156220056910995e-05,-3.837846543392957e-06,-3.3315760296707343e-07,7.673494563243454e-07
44,0.8324854759171307,6.550669880461562e-05,1.3075819015482991e-05,3.080907538164239e-05,-1.1452457305471324e-06,5.112682076307432e-06,2.0091390905875026e-06
45,0.4086096222852126,1.859412044772522e-05,9.568420368813554e-06,2.905271026057169e-05,-1.9334666448158493e-06,-3.121994355580148e-06,5.856332779179607e-07
46,0.213741606045186,8.469408122805631e-06,5.196635239661878e-06,2.202753362566381e-05,2.3025031616977732e-07,-4.862483504038252e-07,2.321663766956644e-07
47,0.681023338004922,6.090767640784245e-05,7.704782643411784e-06,3.061729655481511e-05,1.8533019303471204e-06,-2.419927524909827e-07,5.179111574967935e-07
48,0.8250124767811,7.32423565328357e-05,8.621009456176728e-06,2.9569982110075303e-05,3.4798933656705357e-07,5.106409086693969e-06,5.70047068080974e-06
49,0.12820868171388222,5.929144686245567e-06,3.4440562252113878e-06,1.968813305224112e-05,-2.5997608888713734e-07,7.255809445054845e-07,6.575907356208109e-07
50,0.8480224209630918,5.7922659354767466e-05,8.826137981711982e-06,2.5898500647263672e-05,4.2104891533031893e-07,3.4063748805172975e-06,5.26295207494042e-06
51,0.2503674163785139,9.390599008381356e-06,4.623714128684639e-06,2.2405636961679524e-05,1.0757742546524415e-06,-8.221997784270666e-08,-1.4788914377277166e-06
52,0.2893341142104505,1.2490702453768517e-05,4.980615312618169e-06,2.3689942860261914e-05,-4.3530550850874774e-07,7.765518227051155e-08,-2.9197825224902944e-07
53,0.6797917073804305,5.449041507772442e-05,7.723817605745635e-06,2.9475169564267742e-05,4.914744292660517e-06,-2.407423819022461e-07,6.101862617273213e-07
54,0.5173684676959697,5.156852146246842e-05,8.886599209075763e-06,2.3013670725332498e-05,3.3924132423315963e-07,-1.3546404214370733e-06,-5.426391470842653e-06
55,0.43681779101371987,1.701248593678794e-05,8.738840550869425e-06,2.562993168234209e-05,-1.0857474177089348e-06,-6.123215363278176e-07,-7.795364862262265e-07
56,0.3362419363156194,1.6535878290940217e-05,5.660911004599828e-06,2.9002810572064077e-05,-2.397575072207923e-06,1.5421121801566235e-06,4.510605425442098e-07
57,0.10765078602722733,6.013196026976279e-06,3.0395931958195307e-06,1.7516030284027476e-05,-3.4250467335697374e-07,-1.2910447618792024e-07,9.393745930589438e-07
58,0.2198811285956329,9.443089673313475e-06,4.681673805136696e-06,1.9225228045155404e-05,2.1342352202738058e-07,4.0479880717716217e-07,-6.82258786650288e-08
59,0.8196129906705826,6.759757251131816e-05,8.342229860737277e-06,2.8143789703393625e-05,5.25015118901995e-07,4.335195163535249e-06,7.434091728760206e-06
60,0.13721869147970034,8.588508107841505e-06,3.901341371120627e-06,2.0389836302267608e-05,1.0879790489869029e-06,7.098208513162583e-07,4.480256821185197e-06
61,0.7829920860178691,6.319484402262298e-05,1.1176103597730213e-05,3.110105609760543e-05,2.4322448178686154e-06,4.176444970032188e-06,2.618268767236114e-06
62,0.8158092491890493,5.7609113239755216e-05,1.0729600375065845e-05,3.0023897670320828e-05,4.793419115918865e-07,3.180618448576187e-06,6.230386152198601e-06
63,0.27150125182965223,1.0723153187524776e-05,4.7037063423473384e-06,2.784471064391437e-05,2.2420682389697516e-08,-6.474221711533874e-07,-1.4999344345428558e-06
