,returns,CDF for h = 0.001,CDF for h = 0.003,CDF for h = 0.01
438,0.0057,0.6180978625781959,0.6049978474673312,0.5933737187875886
343,0.0057,0.6180555545485972,0.6116514428018304,0.5935411394769398
94,0.0057,0.6170243709396067,0.61238380235325,0.5901554686616444
481,0.0057,0.6138516917916882,0.6080180484693128,0.5893780548678573
135,0.0059,0.6154114564428221,0.6122590981035281,0.5946464936984998
214,0.006,0.6230170962396505,0.6119562532836583,0.5964536014669509
12,0.0061,0.62612064350372,0.6136690439219049,0.6001190606221821
342,0.0062,0.624635506394011,0.6171553504981017,0.5996427051694174
53,0.0062,0.6268797561588975,0.6131535975602801,0.5995499642870804
459,0.0062,0.6204307147185406,0.6171680308365147,0.5968781533420067
426,0.0063,0.6223505935986666,0.6182327517276363,0.603430175909695
452,0.0063,0.6154241337244815,0.6208150069115566,0.6006052319767857
250,0.0065,0.6320419876213654,0.6235760383395448,0.6025828899622556
178,0.0065,0.6277474585458834,0.6222814482823753,0.6056660290794855
68,0.0065,0.6338795288682207,0.6210872656025658,0.6032871364578286
461,0.0068,0.6333584114543899,0.6284280330044437,0.6092172590752749
42,0.0071,0.6392840091847619,0.6283338102661259,0.6140532025254833
478,0.0071,0.6374330599252789,0.6270771730915409,0.6161747622593593
395,0.0073,0.6361344268728689,0.6342447074608321,0.6178856543338391
89,0.0077,0.6454171831046963,0.647830597774893,0.6227890699283848
446,0.0079,0.655155597556617,0.6497031561937244,0.6271141312832865
489,0.008,0.6647549649282689,0.6494477386712237,0.632482238771054
129,0.0082,0.651277275531415,0.6515302602559938,0.6315317290690098
408,0.0086,0.6574847438020065,0.6594551876277309,0.6399233733244849
332,0.0086,0.6584869227612511,0.652629128643871,0.6364427278244962
63,0.0086,0.642427099563307,0.6629987728844802,0.6384732761225546
445,0.0087,0.6577905662298857,0.6577395065361458,0.6407011623721225
56,0.0089,0.6595051712586119,0.660717070888027,0.6430691449181587
380,0.009,0.6567640796328021,0.658958678296111,0.642280701554876
35,0.009,0.6576546404638718,0.6636987011960419,0.6465856166819663
437,0.0095,0.6682249799734241,0.671346958568349,0.6513018147123248
381,0.0095,0.661991495131004,0.6732196873265919,0.655183598567096
147,0.0096,0.6768260187634493,0.67204128459587,0.654243621682382
191,0.01,0.6798744363096697,0.6755390136582197,0.6578070943225588
388,0.01,0.6785377263995871,0.6731506216703413,0.6613902357101783
49,0.0102,0.6730493675501443,0.6809778069266077,0.6655871842564104
118,0.0103,0.6781676654404811,0.6818959638734043,0.6671600336812071
422,0.0106,0.6933683640969411,0.6857846288406922,0.6701366149818333
143,0.0106,0.6800577367882977,0.6851307098092597,0.6671849227088062
298,0.0111,0.6943714977373497,0.6965166812570589,0.675529383557497
329,0.0111,0.6897259686158282,0.6977366884932124,0.6773434487942512
436,0.0112,0.6944829302641573,0.695111125639875,0.6764915965027717
73,0.0114,0.6996686328526108,0.6974693861224552,0.6795663119434948
75,0.0114,0.7052201176217191,0.6965666447051648,0.6797301314549451
196,0.0114,0.6959881358053461,0.6955031564352846,0.6819921194677611
134,0.0116,0.7063040905920606,0.7023654951423404,0.6839970482681702
